"filename", "language", "TypeScript React", "Less", "XML", "JSON with Comments", "TypeScript", "CSS", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"/Users/zen/Desktop/zen-blog/src/components/HomePage/Articles/Articles.tsx", "TypeScript React", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/zen/Desktop/zen-blog/src/components/HomePage/HomePage.less", "Less", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 21
"/Users/zen/Desktop/zen-blog/src/components/HomePage/HomePage.tsx", "TypeScript React", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 30, 118
"/Users/zen/Desktop/zen-blog/src/components/HomePage/MainContainer/MainContainer.less", "Less", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 65
"/Users/zen/Desktop/zen-blog/src/components/HomePage/MainContainer/MainContainer.tsx", "TypeScript React", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 57
"/Users/zen/Desktop/zen-blog/src/components/HomePage/MainContainer/ProjectCard/ProjectCard.less", "Less", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 11
"/Users/zen/Desktop/zen-blog/src/components/HomePage/MainContainer/ProjectCard/ProjectCard.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/Users/zen/Desktop/zen-blog/src/components/HomePage/TitleBar/FilterTabs/Filter.less", "Less", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 54
"/Users/zen/Desktop/zen-blog/src/components/HomePage/TitleBar/FilterTabs/FilterTabs.tsx", "TypeScript React", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 28, 128
"/Users/zen/Desktop/zen-blog/src/components/HomePage/TitleBar/TitleBar.less", "Less", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 35
"/Users/zen/Desktop/zen-blog/src/components/HomePage/TitleBar/TitleBar.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 60
"/Users/zen/Desktop/zen-blog/src/index.css", "CSS", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 8, 70
"/Users/zen/Desktop/zen-blog/src/main.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"/Users/zen/Desktop/zen-blog/src/store/index.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 31
"/Users/zen/Desktop/zen-blog/src/store/reducers/index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"/Users/zen/Desktop/zen-blog/src/store/reducers/tabs.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 51
"/Users/zen/Desktop/zen-blog/src/types/vanta.birds.min.d.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 3, 9
"/Users/zen/Desktop/zen-blog/src/utils/Tabcontext.tsx", "TypeScript React", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/Users/zen/Desktop/zen-blog/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"/Users/zen/Desktop/zen-blog/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/zen/Desktop/zen-blog/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/zen/Desktop/zen-blog/vite.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 470, 405, 116, 21, 14, 60, 28009, 1299, 13, 2, 586, 452, 31447
