"filename", "language", "TypeScript React", "TypeScript", "Less", "XML", "CSS", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/CanvasBlock/CanvasBlock.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 71
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/DefinitionBlock/DefinitionBlock.less", "Less", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 4, 23, 138
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/DefinitionBlock/DefinitionBlock.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 50
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/Editorial/Editoral.less", "Less", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 6, 23, 172
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/Editorial/Editoral.tsx", "TypeScript React", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 49
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/ExpandPlayground/ExpandPlayground.less", "Less", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 8, 33, 276
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/ExpandPlayground/ExpandPlayground.tsx", "TypeScript React", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 78
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/HashtagDM/HashtagDM.less", "Less", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 15, 24, 218
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/HashtagDM/HashtagDM.tsx", "TypeScript React", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 56
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/Intergation/Intergation.less", "Less", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 4, 29, 205
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/Intergation/Intergation.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 63
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/KMGrowth/KMGrowth.less", "Less", 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 18, 32, 362
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/KMGrowth/KMGrowth.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 73
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/KnowledgeGraphic/KnowledgeGraphic.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/KnowledgeGraphic/KnowledgeGraphic.tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/ProjectA.less", "Less", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 15, 77
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/ProjectA.tsx", "TypeScript React", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 34, 137
